net,prop,infra,jobs,runtime,initial_divides,divides,timeout,initial_timeout,timeout_factor,hash,trial,divide_strategy,region,start_time,result
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,4,0.10211563110351562,2,2,0.1,5,1.5,75206b24,0,largest-interval,us-west-2,1576472296.305222,Result.TIMEOUT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,4,5.830593109130859,2,2,10,5,1.5,75206b24,0,largest-interval,us-west-2,1576476295.0164127,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,4,5.881082773208618,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576476869.7073574,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,2.7230892181396484,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514071.634298,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,6.5342888832092285,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514313.3943925,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,4,5.7804296016693115,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514654.7758052,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,2,4.928830623626709,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514660.5568516,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,1,5.931455135345459,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514665.4862611,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,2.7232632637023926,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514930.2667406,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,2,4.076036691665649,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514933.4213693,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,1,7.033808708190918,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514937.9355853,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,5.280577182769775,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514945.4071832,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,2,6.483958721160889,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514951.1342485,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,1,10.796207427978516,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576514958.0632348,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,32,14.055289506912231,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515064.9165523,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,32,17.26473641395569,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515079.418018,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,16,14.102027654647827,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515468.454202,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,8,15.756986856460571,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515482.9898086,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,19.722513914108276,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515499.1872833,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,16,16.964171409606934,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515519.3414757,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,8,19.822043418884277,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515536.754126,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,20.003201246261597,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515557.0265434,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,32,20.020514488220215,5,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515697.9801002,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,16,20.086592197418213,4,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515718.0014203,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,8,20.081300020217896,3,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515738.0885403,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,4,20.0408935546875,2,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515758.1705158,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,32,20.0030517578125,5,2,20,5,1.5,75206b24,0,largest-interval,us-west-2,1576515778.6549335,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,32,550.040608882904,5,2,900,5,1.5,75206b24,0,largest-interval,us-west-2,1576528887.1853633,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,32,5.981916904449463,5,2,900,5,1.5,75206b24,0,largest-interval,us-west-2,1576515955.3181012,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,16,6.3337743282318115,4,2,900,5,1.5,75206b24,0,largest-interval,us-west-2,1576515961.7111373,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,8,14.805052995681763,3,2,900,5,1.5,75206b24,0,largest-interval,us-west-2,1576515968.4554358,Result.UNSAT
