jobs,infra,divide_strategy,rt_mean_net
4,Infra.GG_LAMBDA,split-relu,1313.8564889272054
4,Infra.GG_LOCAL,split-relu,1157.3207270304363
4,Infra.THREAD,split-relu,1132.2777916590373
8,Infra.GG_LAMBDA,split-relu,958.7385906378428
8,Infra.GG_LOCAL,split-relu,906.032825978597
8,Infra.THREAD,split-relu,877.5012979984283
16,Infra.GG_LAMBDA,split-relu,677.609273147583
16,Infra.GG_LOCAL,split-relu,588.6631502787272
16,Infra.THREAD,split-relu,714.8248365561168
32,Infra.GG_LAMBDA,split-relu,668.2344780604045
64,Infra.GG_LAMBDA,split-relu,619.1277736663818
128,Infra.GG_LAMBDA,split-relu,679.0259768327077
256,Infra.GG_LAMBDA,split-relu,596.5844300866127
512,Infra.GG_LAMBDA,split-relu,566.2167488892873
