net,prop,infra,jobs,initial_divides,divides,timeout,initial_timeout,timeout_factor,hash,trial,start_time,runtime,result
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,1,2,2,20,5,1.5,0,75206b24,1576514665.4862611,5.931455135345459,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,1,2,2,20,5,1.5,0,75206b24,1576514937.9355853,7.033808708190918,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,1,2,2,20,5,1.5,0,75206b24,1576514958.0632348,10.796207427978516,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,2,2,2,20,5,1.5,0,75206b24,1576514660.5568516,4.928830623626709,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,2,2,2,20,5,1.5,0,75206b24,1576514933.4213693,4.076036691665649,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,2,2,2,20,5,1.5,0,75206b24,1576514951.1342485,6.483958721160889,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.THREAD,4,2,2,20,5,1.5,0,75206b24,1576514654.7758052,5.7804296016693115,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,2,2,20,5,1.5,0,75206b24,1576514930.2667406,2.7232632637023926,Result.UNSAT
ACASXU_run2a_2_9_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,2,2,20,5,1.5,0,75206b24,1576514945.4071832,5.280577182769775,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,2,2,20,5,1.5,0,75206b24,1576515499.1872833,19.722513914108276,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,2,2,20,5,1.5,0,75206b24,1576515557.0265434,20.003201246261597,Result.TIMEOUT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,4,2,2,20,5,1.5,0,75206b24,1576515758.1705158,20.0408935546875,Result.TIMEOUT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LOCAL,4,2,2,900,5,1.5,0,75206b24,1576515983.6820922,19.321579933166504,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.GG_LAMBDA,4,2,2,900,5,1.5,0,75206b24,1576516039.7824056,25.187904596328735,Result.UNSAT
ACASXU_run2a_2_5_batch_2000.nnet,property3.txt,Infra.THREAD,4,2,2,900,5,1.5,0,75206b24,1576527486.72988,25.03539752960205,Result.UNSAT
ACASXU_run2a_2_2_batch_2000.nnet,property3.txt,Infra.THREAD,4,2,2,900,5,1.5,0,75206b24,1576531045.9702952,900.0665407180786,Result.TIMEOUT
